"ST","conference","D1School","Seed","Region"
"2003_1428","mwc",1,9,"Midwest"
"2003_1429","big_west",1,15,"West"
"2003_1431","wac",1,NA,NA
"2003_1433","caa",1,NA,NA
"2003_1434","mid_cont",1,NA,NA
"2003_1435","sec",1,NA,NA
"2003_1436","aec",1,16,"West"
"2003_1437","big_east",1,NA,NA
"2003_1438","acc",1,NA,NA
"2003_1439","big_east",1,NA,NA
"2003_1440","southern",1,NA,NA
"2003_1441","southern",1,NA,NA
"2003_1442","mid_cont",1,NA,NA
"2003_1443","sun_belt",1,13,"West"
"2003_1444","mac",1,NA,NA
"2003_1447","nec",1,15,"Midwest"
"2003_1448","acc",1,2,"East"
"2003_1449","pac_ten",1,NA,NA
"2003_1450","pac_ten",1,NA,NA
"2003_1451","big_sky",1,12,"Midwest"
"2003_1452","big_east",1,NA,NA
"2003_1453","horizon",1,NA,NA
"2003_1454","horizon",1,12,"West"
"2003_1455","mvc",1,NA,NA
"2003_1456","caa",1,NA,NA
"2003_1457","big_south",1,NA,NA
"2003_1458","big_ten",1,5,"Midwest"
"2003_1459","southern",1,NA,NA
"2003_1460","horizon",1,NA,NA
"2003_1461","mwc",1,NA,NA
"2003_1462","a_ten",1,3,"South"
"2003_1463","ivy",1,NA,NA
"2003_1464","horizon",1,NA,NA
"2004_1102","mwc",1,11,"Atlanta"
"2004_1103","mac",1,NA,NA
"2004_1104","sec",1,8,"Phoenix"
"2004_1105","swac",1,NA,NA
"2004_1106","swac",1,16,"Atlanta"
"2004_1107","aec",1,NA,NA
"2004_1108","swac",1,NA,NA
"2004_1110","patriot",1,NA,NA
"2004_1111","southern",1,NA,NA
"2004_1112","pac_ten",1,9,"Atlanta"
"2004_1113","pac_ten",1,NA,NA
"2004_1114","sun_belt",1,NA,NA
"2004_1115","swac",1,NA,NA
"2004_1116","sec",1,NA,NA
"2004_1117","sun_belt",1,NA,NA
"2004_1119","patriot",1,NA,NA
"2004_1120","sec",1,NA,NA
"2004_1122","ovc",1,NA,NA
"2004_1123","mac",1,NA,NA
"2004_1124","big_twelve",1,NA,NA
"2004_1125","a_sun",1,NA,NA
"2004_1126","meac",1,NA,NA
"2004_1127","aec",1,NA,NA
"2004_1128","big_south",1,NA,NA
"2004_1129","wac",1,NA,NA
"2004_1130","big_east",1,6,"StLouis"
"2004_1131","aec",1,NA,NA
"2004_1132","mac",1,NA,NA
"2004_1133","mvc",1,NA,NA
"2004_1135","ivy",1,NA,NA
"2004_1137","patriot",1,NA,NA
"2004_1138","mac",1,NA,NA
"2004_1139","horizon",1,NA,NA
"2004_1140","mwc",1,12,"Phoenix"
"2004_1141","mac",1,NA,NA
"2004_1142","big_west",1,NA,NA
"2004_1143","pac_ten",1,NA,NA
"2004_1144","a_sun",1,NA,NA
"2004_1145","maac",1,NA,NA
"2004_1147","mid_cont",1,NA,NA
"2004_1148","nec",1,NA,NA
"2004_1149","big_south",1,NA,NA
"2004_1150","cusa",1,9,"EastRutherford"
"2004_1151","southern",1,NA,NA
"2004_1152","mid_cont",1,NA,NA
"2004_1153","cusa",1,4,"Atlanta"
"2004_1154","southern",1,NA,NA
"2004_1155","acc",1,NA,NA
"2004_1156","horizon",1,NA,NA
"2004_1157","big_south",1,NA,NA
"2004_1158","southern",1,NA,NA
"2004_1159","patriot",1,NA,NA
"2004_1160","big_twelve",1,NA,NA
"2004_1161","mwc",1,NA,NA
"2004_1162","ivy",1,NA,NA
"2004_1163","big_east",1,2,"Phoenix"
"2004_1164","meac",1,NA,NA
"2004_1165","ivy",1,NA,NA
"2004_1166","mvc",1,NA,NA
"2004_1168","big_west",1,NA,NA
"2004_1169","big_west",1,NA,NA
"2004_1170","big_sky",1,NA,NA
"2004_1171","ivy",1,NA,NA
"2004_1172","southern",1,NA,NA
"2004_1173","a_ten",1,10,"Phoenix"
"2004_1174","caa",1,NA,NA
"2004_1175","meac",1,NA,NA
"2004_1176","sun_belt",1,NA,NA
"2004_1177","cusa",1,7,"Phoenix"
"2004_1178","horizon",1,NA,NA
"2004_1179","mvc",1,NA,NA
"2004_1180","caa",1,NA,NA
"2004_1181","acc",1,1,"Atlanta"
"2004_1182","a_ten",1,NA,NA
"2004_1183","ovc",1,NA,NA
"2004_1184","ovc",1,NA,NA
"2004_1185","mac",1,NA,NA
"2004_1186","big_sky",1,15,"EastRutherford"
"2004_1187","cusa",1,NA,NA
"2004_1189","southern",1,NA,NA
"2004_1190","southern",1,13,"Atlanta"
"2004_1191","mvc",1,NA,NA
"2004_1192","nec",1,NA,NA
"2004_1193","maac",1,NA,NA
"2004_1194","a_sun",1,NA,NA
"2004_1196","sec",1,5,"EastRutherford"
"2004_1197","meac",1,16,"StLouis"
"2004_1198","sun_belt",1,NA,NA
"2004_1199","acc",1,NA,NA
"2004_1200","a_ten",1,NA,NA
"2004_1201","wac",1,NA,NA
"2004_1202","southern",1,NA,NA
"2004_1203","a_ten",1,NA,NA
"2004_1204","southern",1,NA,NA
"2004_1205","a_sun",1,NA,NA
"2004_1206","caa",1,NA,NA
"2004_1207","big_east",1,NA,NA
"2004_1208","sec",1,NA,NA
"2004_1209","a_sun",1,NA,NA
"2004_1210","acc",1,3,"StLouis"
"2004_1211","wcc",1,2,"StLouis"
"2004_1212","swac",1,NA,NA
"2004_1214","meac",1,NA,NA
"2004_1216","aec",1,NA,NA
"2004_1217","ivy",1,NA,NA
"2004_1218","wac",1,NA,NA
"2004_1219","big_south",1,NA,NA
"2004_1220","caa",1,NA,NA
"2004_1221","patriot",1,NA,NA
"2004_1222","cusa",1,NA,NA
"2004_1224","meac",1,NA,NA
"2004_1225","big_west",1,NA,NA
"2004_1226","big_sky",1,NA,NA
"2004_1227","horizon",1,13,"StLouis"
"2004_1228","big_ten",1,5,"Atlanta"
"2004_1229","mvc",1,NA,NA
"2004_1231","big_ten",1,NA,NA
"2004_1232","mvc",1,NA,NA
"2004_1233","maac",1,NA,NA
"2004_1234","big_ten",1,NA,NA
"2004_1235","big_twelve",1,NA,NA
"2004_1236","ind",1,NA,NA
"2004_1237","mid_cont",1,NA,NA
"2004_1238","swac",1,NA,NA
"2004_1239","a_sun",1,NA,NA
"2004_1240","ovc",1,NA,NA
"2004_1241","caa",1,NA,NA
"2004_1242","big_twelve",1,4,"StLouis"
"2004_1243","big_twelve",1,NA,NA
"2004_1245","mac",1,NA,NA
"2004_1246","sec",1,1,"StLouis"
"2004_1247","a_ten",1,NA,NA
"2004_1248","patriot",1,NA,NA
"2004_1249","southland",1,NA,NA
"2004_1250","patriot",1,16,"StLouis"
"2004_1251","big_south",1,16,"EastRutherford"
"2004_1252","a_sun",1,NA,NA
"2004_1253","big_west",1,NA,NA
"2004_1254","nec",1,NA,NA
"2004_1256","wac",1,NA,NA
"2004_1257","cusa",1,10,"Atlanta"
"2004_1258","wcc",1,NA,NA
"2004_1259","maac",1,NA,NA
"2004_1260","horizon",1,NA,NA
"2004_1261","sec",1,NA,NA
"2004_1263","aec",1,NA,NA
"2004_1264","maac",1,12,"EastRutherford"
"2004_1265","maac",1,NA,NA
"2004_1266","cusa",1,NA,NA
"2004_1267","mac",1,NA,NA
"2004_1268","acc",1,4,"Phoenix"
"2004_1269","a_ten",1,NA,NA
"2004_1270","southland",1,NA,NA
"2004_1271","meac",1,NA,NA
"2004_1272","cusa",1,7,"EastRutherford"
"2004_1273","a_sun",1,NA,NA
"2004_1274","big_east",1,NA,NA
"2004_1275","mac",1,NA,NA
"2004_1276","big_ten",1,NA,NA
"2004_1277","big_ten",1,7,"StLouis"
"2004_1278","big_ten",1,NA,NA
"2004_1279","sec",1,NA,NA
"2004_1280","sec",1,2,"Atlanta"
"2004_1281","big_twelve",1,NA,NA
"2004_1282","mid_cont",1,NA,NA
"2004_1283","mvc",1,NA,NA
"2004_1284","nec",1,15,"Atlanta"
"2004_1285","big_sky",1,NA,NA
"2004_1286","big_sky",1,NA,NA
"2004_1287","ovc",1,NA,NA
"2004_1288","meac",1,NA,NA
"2004_1290","swac",1,NA,NA
"2004_1291","nec",1,NA,NA
"2004_1292","sun_belt",1,NA,NA
"2004_1293","ovc",1,12,"Atlanta"
"2004_1296","mac",1,NA,NA
"2004_1298","patriot",1,NA,NA
"2004_1299","meac",1,NA,NA
"2004_1301","acc",1,3,"Phoenix"
"2004_1304","big_twelve",1,NA,NA
"2004_1305","wac",1,10,"StLouis"
"2004_1306","aec",1,NA,NA
"2004_1307","mwc",1,NA,NA
"2004_1308","sun_belt",1,NA,NA
"2004_1309","sun_belt",1,NA,NA
"2004_1310","maac",1,NA,NA
"2004_1311","southland",1,NA,NA
"2004_1313","meac",1,NA,NA
"2004_1314","acc",1,6,"Atlanta"
"2004_1317","sun_belt",1,NA,NA
"2004_1318","aec",1,NA,NA
"2004_1319","big_sky",1,NA,NA
"2004_1320","mvc",1,14,"StLouis"
"2004_1321","big_ten",1,NA,NA
"2004_1322","southland",1,NA,NA
"2004_1323","big_east",1,NA,NA
"2004_1324","mid_cont",1,NA,NA
"2004_1325","mac",1,NA,NA
"2004_1326","big_ten",1,NA,NA
"2004_1328","big_twelve",1,NA,NA
"2004_1329","big_twelve",1,2,"EastRutherford"
"2004_1330","caa",1,NA,NA
"2004_1331","mid_cont",1,NA,NA
"2004_1332","pac_ten",1,NA,NA
"2004_1333","pac_ten",1,NA,NA
"2004_1334","big_west",1,12,"StLouis"
"2004_1335","ivy",1,NA,NA
"2004_1336","big_ten",1,NA,NA
"2004_1337","wcc",1,NA,NA
"2004_1338","big_east",1,3,"EastRutherford"
"2004_1339","wcc",1,NA,NA
"2004_1340","big_sky",1,NA,NA
"2004_1341","swac",1,NA,NA
"2004_1343","ivy",1,14,"Atlanta"
"2004_1344","big_east",1,5,"StLouis"
"2004_1345","big_ten",1,NA,NA
"2004_1346","nec",1,NA,NA
"2004_1347","big_south",1,NA,NA
"2004_1348","a_ten",1,NA,NA
"2004_1349","wac",1,NA,NA
"2004_1350","a_ten",1,11,"EastRutherford"
"2004_1351","maac",1,NA,NA
"2004_1352","nec",1,NA,NA
"2004_1353","big_east",1,NA,NA
"2004_1354","meac",1,NA,NA
"2004_1356","mvc",1,9,"Phoenix"
"2004_1357","nec",1,NA,NA
"2004_1358","southland",1,NA,NA
"2004_1359","ovc",1,NA,NA
"2004_1360","wcc",1,NA,NA
"2004_1361","mwc",1,NA,NA
"2004_1362","wcc",1,NA,NA
"2004_1363","wac",1,NA,NA
"2004_1364","big_west",1,NA,NA
"2004_1365","wcc",1,NA,NA
"2004_1366","ind",1,NA,NA
"2004_1368","southland",1,NA,NA
"2004_1369","ovc",1,NA,NA
"2004_1371","big_east",1,8,"Atlanta"
"2004_1372","southland",1,NA,NA
"2004_1373","maac",1,NA,NA
"2004_1374","wac",1,NA,NA
"2004_1375","sun_belt",1,NA,NA
"2004_1376","sec",1,10,"EastRutherford"
"2004_1378","cusa",1,NA,NA
"2004_1379","cusa",1,NA,NA
"2004_1380","swac",1,NA,NA
"2004_1381","mid_cont",1,NA,NA
"2004_1382","a_ten",1,NA,NA
"2004_1383","nec",1,NA,NA
"2004_1384","nec",1,NA,NA
"2004_1385","big_east",1,NA,NA
"2004_1386","a_ten",1,1,"EastRutherford"
"2004_1387","cusa",1,NA,NA
"2004_1388","wcc",1,NA,NA
"2004_1389","maac",1,NA,NA
"2004_1390","pac_ten",1,1,"Phoenix"
"2004_1391","a_sun",1,NA,NA
"2004_1392","aec",1,NA,NA
"2004_1393","big_east",1,5,"Phoenix"
"2004_1394","ind",1,NA,NA
"2004_1395","cusa",1,NA,NA
"2004_1396","a_ten",1,NA,NA
"2004_1397","sec",1,NA,NA
"2004_1398","ovc",1,NA,NA
"2004_1399","ovc",1,NA,NA
"2004_1400","big_twelve",1,3,"Atlanta"
"2004_1401","big_twelve",1,NA,NA
"2004_1402","southland",1,NA,NA
"2004_1403","big_twelve",1,8,"EastRutherford"
"2004_1404","ovc",1,NA,NA
"2004_1405","mac",1,NA,NA
"2004_1406","caa",1,NA,NA
"2004_1407","a_sun",1,NA,NA
"2004_1408","cusa",1,NA,NA
"2004_1409","wac",1,NA,NA
"2004_1410","ind",1,NA,NA
"2004_1411","swac",1,NA,NA
"2004_1412","cusa",1,9,"StLouis"
"2004_1414","big_west",1,NA,NA
"2004_1415","big_west",1,NA,NA
"2004_1416","a_sun",1,14,"EastRutherford"
"2004_1417","pac_ten",1,NA,NA
"2004_1418","sun_belt",1,14,"Phoenix"
"2004_1419","southland",1,NA,NA
"2004_1420","aec",1,NA,NA
"2004_1421","big_south",1,NA,NA
"2004_1422","southern",1,NA,NA
"2004_1423","caa",1,NA,NA
"2004_1424","mwc",1,NA,NA
"2004_1425","pac_ten",1,NA,NA
"2004_1426","southland",1,NA,NA
"2004_1427","southland",1,16,"Phoenix"
"2004_1428","mwc",1,11,"StLouis"
"2004_1429","big_west",1,NA,NA
"2004_1431","wac",1,13,"Phoenix"
"2004_1433","caa",1,13,"EastRutherford"
"2004_1434","mid_cont",1,15,"StLouis"
"2004_1435","sec",1,6,"Phoenix"
"2004_1436","aec",1,15,"Phoenix"
"2004_1437","big_east",1,NA,NA
"2004_1438","acc",1,NA,NA
"2004_1439","big_east",1,NA,NA
"2004_1440","big_south",1,NA,NA
"2004_1441","southern",1,NA,NA
"2004_1442","mid_cont",1,NA,NA
"2004_1443","sun_belt",1,NA,NA
"2004_1444","mac",1,11,"Phoenix"
"2004_1447","nec",1,NA,NA
"2004_1448","acc",1,4,"EastRutherford"
"2004_1449","pac_ten",1,8,"StLouis"
"2004_1450","pac_ten",1,NA,NA
"2004_1451","big_sky",1,NA,NA
"2004_1452","big_east",1,NA,NA
"2004_1453","horizon",1,NA,NA
"2004_1454","horizon",1,NA,NA
"2004_1455","mvc",1,NA,NA
"2004_1456","caa",1,NA,NA
"2004_1457","big_south",1,NA,NA
"2004_1458","big_ten",1,6,"EastRutherford"
"2004_1459","southern",1,NA,NA
"2004_1460","horizon",1,NA,NA
"2004_1461","mwc",1,NA,NA
"2004_1462","a_ten",1,7,"Atlanta"
"2004_1463","ivy",1,NA,NA
"2004_1464","horizon",1,NA,NA
"2005_1102","mwc",1,NA,NA
"2005_1103","mac",1,NA,NA
"2005_1104","sec",1,5,"Chicago"
"2005_1105","swac",1,16,"Syracuse"
"2005_1106","swac",1,NA,NA
"2005_1107","aec",1,NA,NA
"2005_1108","swac",1,NA,NA
"2005_1110","patriot",1,NA,NA
"2005_1111","southern",1,NA,NA
"2005_1112","pac_ten",1,3,"Chicago"
"2005_1113","pac_ten",1,NA,NA
"2005_1114","sun_belt",1,NA,NA
"2005_1115","swac",1,NA,NA
"2005_1116","sec",1,NA,NA
"2005_1117","sun_belt",1,NA,NA
"2005_1119","patriot",1,NA,NA
"2005_1120","sec",1,NA,NA
"2005_1122","ovc",1,NA,NA
"2005_1123","mac",1,NA,NA
"2005_1124","big_twelve",1,NA,NA
"2005_1125","a_sun",1,NA,NA
"2005_1126","meac",1,NA,NA
"2005_1127","aec",1,NA,NA
"2005_1128","big_south",1,NA,NA
"2005_1129","wac",1,NA,NA
"2005_1130","big_east",1,4,"Chicago"
"2005_1131","aec",1,NA,NA
"2005_1132","mac",1,NA,NA
"2005_1133","mvc",1,NA,NA
"2005_1135","ivy",1,NA,NA
"2005_1137","patriot",1,14,"Syracuse"
"2005_1138","mac",1,NA,NA
"2005_1139","horizon",1,NA,NA
"2005_1140","mwc",1,NA,NA
"2005_1141","mac",1,NA,NA
"2005_1142","big_west",1,NA,NA
"2005_1143","pac_ten",1,NA,NA
"2005_1144","a_sun",1,NA,NA
"2005_1145","maac",1,NA,NA
"2005_1147","mid_cont",1,NA,NA
"2005_1148","nec",1,NA,NA
"2005_1149","big_south",1,NA,NA
"2005_1150","cusa",1,7,"Syracuse"
"2005_1151","southern",1,15,"Albuquerque"
"2005_1152","mid_cont",1,NA,NA
"2005_1153","cusa",1,7,"Austin"
"2005_1154","southern",1,NA,NA
"2005_1155","acc",1,NA,NA
"2005_1156","horizon",1,NA,NA
"2005_1157","big_south",1,NA,NA
"2005_1158","southern",1,NA,NA
"2005_1159","patriot",1,NA,NA
"2005_1160","big_twelve",1,NA,NA
"2005_1161","mwc",1,NA,NA
"2005_1162","ivy",1,NA,NA
"2005_1163","big_east",1,2,"Syracuse"
"2005_1164","meac",1,NA,NA
"2005_1165","ivy",1,NA,NA
"2005_1166","mvc",1,10,"Albuquerque"
"2005_1168","big_west",1,NA,NA
"2005_1169","big_west",1,NA,NA
"2005_1170","big_sky",1,NA,NA
"2005_1171","ivy",1,NA,NA
"2005_1172","southern",1,NA,NA
