team,name
1243,kansas st
1244,kennesaw
1245,kent
1246,kentucky
1247,la salle
1418,la.-lafayette
1419,la.-monroe
1248,lafayette
1249,lamar
1250,lehigh
1251,liberty
1252,lipscomb
1254,liu brooklyn
1255,longwood
1261,louisiana state
1256,louisiana tech
1257,louisville
1258,loy marymount
1260,loyola (il)
1259,loyola (md)
1262,ma lowell
1263,maine
1264,manhattan
1265,marist
1266,marquette
1267,marshall
1268,maryland
1271,maryland - e. shore
1420,maryland-baltimore county
1269,massachusetts
1270,mcneese st
1272,memphis
1273,mercer
1274,miami - florida
1275,miami (oh)
1325,Miami University 
1276,michigan
1277,michigan st
1292,middle tenn st
1454,milwaukee
1278,minnesota
1290,miss valley st.
1279,mississippi
1280,mississippi st
1281,missouri
1282,missouri kc
1283,missouri st
1284,monmouth
1285,montana
1286,montana st
1287,morehead st
1288,morgan st
1289,morris brown
1291,mount saint marys
1293,murray st
1294,n colorado
1295,n dakota st
1296,n illinois
1297,n kentucky
1299,n. carolina a&t
1421,n.c. asheville
1300,n.c. central
1301,n.c. state
1312,n.j.i.t.
1298,navy
1422,nc greensboro
1423,nc wilmington
1302,ne illinois
1303,ne omaha
1304,nebraska
1305,nevada
1424,nevada-las vegas
1306,new hampshire
1307,new mexico
1308,new mexico st
1309,new orleans
1310,niagara
1311,nicholls
1313,norfolk st
1314,north carolina
1315,north dakota
1316,north florida
1317,north texas
1318,northeastern
1319,northern ariz.
1320,northern iowa
1321,northwestern
1322,northwestern la
1323,notre dame
1324,oakland
1326,ohio st
1327,okla city
1328,oklahoma
1329,oklahoma st
1330,old dominion
1331,oral roberts
1332,oregon
1333,oregon st
1334,pacific
1335,penn
1336,penn st
1337,pepperdine
1338,pitt
1339,portland
1340,portland st
1341,prairie view
1342,presbyterian
1343,princeton
1344,providence
1345,purdue
1346,quinnipiac
1347,radford
1348,rhode island
1349,rice
1350,richmond
1351,rider
1352,robert morris
1353,rutgers
1354,s carolina st
1355,s dakota st
1356,s illinois
1357,sacred heart
1384,saint francis (pa)
1386,saint joseph`s
1387,saint louis
1388,Saint Mary’s (CA)
1389,saint peter`s
1358,sam houston st
1359,samford
1360,san diego
1361,san diego st
1362,san francisco
1363,san jose st
1365,santa clara
1366,savannah st
1367,sc upstate
1368,se louisiana
1369,se missouri st
1370,seattle
1371,seton hall
1372,sf austin
1373,siena
1374,smu
1375,south ala.
1376,south carolina
1377,south dakota
1378,south fla.
1380,southern
1425,southern california
1379,southern miss
1381,southern utah
1382,st bonaventure
1383,st francis (ny)
1385,st john's
1390,stanford
1391,stetson
1392,stony brook
1393,syracuse
1395,tcu
1396,temple
1397,tennessee
1398,tennessee st
1399,tennessee tech
1404,tennessee-martin
1410,tex.-pan american
1400,texas
1401,texas a&m
1426,texas arlington
1427,texas san antonio
1411,texas southern
1402,texas st
1403,texas tech
1431,texas-el paso
1405,toledo
1406,towson
1407,troy
1408,tulane
1409,tulsa
1417,ucla
1428,University of Utah 
1436,University of Vermont 
1438,University of Virginia 
1449,University of Washington 
1458,University of Wisconsin–Madison 
1461,University of Wyoming 
1429,utah st
1430,utah valley
1432,utica
1433,va commonwealth
1434,valparaiso
1435,vanderbilt
1437,villanova
1440,virginia military
1439,Virginia Polytechnic Institute and State University 
1442,w illinois
1443,w kentucky
1444,w michigan
1445,w salem st
1446,w texas a&m
1447,wagner
1448,wake forest
1450,washington st
1451,weber st
1452,west virginia
1455,wichita st
1457,winthrop
1459,wofford
1460,wright st
1462,xavier
1463,yale
1464,youngstown st
