"Season","Daynum","team","score","Oteam","Oscore","loc","Numot","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","Ofgm","Ofga","Ofgm3","Ofga3","Oftm","Ofta","Oor","Odr","Oast","Oto","Ostl","Oblk","Opf","GameID","G.round","win","Pos","OPos","GameTempo","eFGp","OeFGp","TOp","OTOp","ORp","OORp","FTRate","OFTRate","AssistRate","OAssistRate","BlockRate","OBlockRate","StealRate","OStealkRate","TrueShootp","OTrueShootp"
2003,136,1163,58,1140,53,"N",0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22,6,1,1,66.825,66.175,66.5,0.365384615384615,0.328125,0.209502431724654,0.16622591613147,0.315789473684211,0.340909090909091,0.519230769230769,0.203125,0.470588235294118,0.55,0.170212765957447,0.105263157894737,0.0453343407631281,0.119715675271231,0.4473582722715,0.377627360171001
2003,138,1163,85,1390,74,"N",0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18,35,2,1,69.975,70.075,70.025,0.5,0.5,0.128617363344051,0.156974669996432,0.435897435897436,0.297297297297297,0.308823529411765,0.274193548387097,0.387096774193548,0.444444444444444,0.0256410256410256,0.103448275862069,0.0570816981805209,0.0285816362986781,0.545046489259378,0.528005708169818
2003,136,1181,67,1161,57,"N",0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19,7,1,1,71.725,72.45,72.0875,0.388888888888889,0.361111111111111,0.223074241896131,0.262249827467219,0.351351351351351,0.289473684210526,0.574074074074074,0.407407407407407,0.210526315789474,0.444444444444444,0.186046511627907,0.0975609756097561,0.138026224982747,0.069710700592541,0.487449981811568,0.442203258339798
2003,138,1181,86,1141,60,"N",0,32,52,10,15,12,16,4,23,14,11,15,9,18,21,57,8,17,10,14,14,19,8,21,4,2,14,36,2,1,66.6,70.65,68.625,0.711538461538462,0.43859649122807,0.165165165165165,0.29723991507431,0.173913043478261,0.378378378378378,0.307692307692308,0.245614035087719,0.4375,0.380952380952381,0.225,0.0540540540540541,0.212314225053079,0.0600600600600601,0.721476510067114,0.471327572663001
2003,137,1196,85,1358,55,"N",0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16,20,1,1,68.65,69.55,69.1,0.631147540983607,0.385964912280702,0.145666423889294,0.230050323508267,0.264705882352941,0.27906976744186,0.229508196721311,0.315789473684211,0.75,0.526315789473684,0.0769230769230769,0.121212121212121,0.0862688713156003,0.0145666423889293,0.628233555062823,0.41952707856598
2003,136,1211,74,1153,69,"N",0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24,8,1,1,68.575,67.75,68.1625,0.48936170212766,0.46969696969697,0.17499088589136,0.14760147601476,0.266666666666667,0.317073170731707,0.787234042553192,0.151515151515152,0.6,0.5,0.0512820512820513,0.181818181818182,0.029520295202952,0.10207801676996,0.572977158343012,0.487632508833922
2003,136,1228,65,1443,60,"N",0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16,9,1,1,61.65,61.175,61.4125,0.473214285714286,0.448275862068966,0.227088402270884,0.228851655087863,0.454545454545455,0.425,0.25,0.224137931034483,0.625,0.454545454545455,0.117647058823529,0.119047619047619,0.179812014711892,0.097323600973236,0.518754988028731,0.467471756914686
2003,137,1231,67,1104,62,"N",0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21,21,1,1,56.35,58.6,57.475,0.459183673469388,0.471153846153846,0.141969831410825,0.136518771331058,0.393939393939394,0.290322580645161,0.530612244897959,0.307692307692308,0.789473684210526,0.590909090909091,0.05,0.193548387096774,0.0170648464163823,0.0354924578527063,0.546047269763651,0.520134228187919
2003,136,1242,64,1429,61,"N",0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15,10,1,1,60.225,60.75,60.4875,0.568627450980392,0.464285714285714,0.182648401826484,0.213991769547325,0.269230769230769,0.393939393939394,0.215686274509804,0.178571428571429,0.464285714285714,0.565217391304348,0.102564102564103,0.0222222222222222,0.131687242798354,0.099626400996264,0.569141840818141,0.502057613168724
2003,138,1242,108,1113,76,"N",0,40,59,5,9,23,34,12,28,21,13,6,6,20,28,69,4,15,16,23,17,14,11,11,7,5,21,37,2,1,76.15,73.925,75.0375,0.720338983050847,0.434782608695652,0.170715692711753,0.148799458911059,0.461538461538462,0.377777777777778,0.576271186440678,0.333333333333333,0.525,0.392857142857143,0.111111111111111,0.1,0.0811633412242137,0.0919238345370978,0.718562874251497,0.475445730372224
2003,143,1242,69,1181,65,"N",0,29,67,1,12,10,17,18,29,14,17,4,5,16,25,65,10,26,5,8,11,22,11,14,6,7,18,51,3,1,74.075,71.8,72.9375,0.440298507462687,0.461538461538462,0.229497131285859,0.194986072423398,0.45,0.275,0.253731343283582,0.123076923076923,0.482758620689655,0.44,0.128205128205128,0.127272727272727,0.0557103064066852,0.0809989875126561,0.45954045954046,0.472383720930233
2003,145,1242,78,1112,75,"N",0,29,67,8,26,12,18,15,22,16,15,13,5,20,23,55,10,22,19,23,11,26,16,19,8,2,17,58,4,1,75.55,73.925,74.7375,0.492537313432836,0.509090909090909,0.198544010589014,0.25701724721001,0.365853658536585,0.333333333333333,0.26865671641791,0.418181818181818,0.551724137931034,0.695652173913043,0.151515151515152,0.0487804878048781,0.175853905985796,0.105890138980807,0.516214427531436,0.568828213879408
2003,152,1242,94,1266,61,"N",0,38,71,8,19,10,17,19,33,22,12,8,5,15,23,74,3,16,12,18,21,18,7,11,7,3,17,62,5,1,72.075,72.55,72.3125,0.591549295774648,0.331081081081081,0.166493236212279,0.151619572708477,0.513513513513513,0.388888888888889,0.23943661971831,0.243243243243243,0.578947368421053,0.304347826086957,0.0862068965517241,0.0576923076923077,0.11026878015162,0.0971210544571627,0.594372431236168,0.369473046638401
2003,137,1246,95,1237,64,"N",0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15,22,1,1,73.225,74.45,73.8375,0.692307692307692,0.4,0.177534994878798,0.25520483546004,0.357142857142857,0.375,0.169230769230769,0.366666666666667,0.55,0.454545454545455,0.0888888888888889,0.0222222222222222,0.094022834116857,0.095595766473199,0.676397294410822,0.454222853087296
2003,139,1246,74,1428,54,"N",0,26,55,4,13,18,18,13,22,11,13,4,3,16,19,48,4,14,12,16,8,14,8,16,7,2,19,44,2,1,63.55,63.6,63.575,0.509090909090909,0.4375,0.20456333595594,0.251572327044025,0.481481481481481,0.266666666666667,0.327272727272727,0.333333333333333,0.423076923076923,0.421052631578947,0.0882352941176471,0.0476190476190476,0.0628930817610063,0.11014948859166,0.582218725413061,0.485611510791367
2003,143,1246,63,1458,57,"N",0,24,49,1,5,14,24,12,21,9,14,10,4,17,19,45,8,21,11,16,7,19,9,15,7,1,20,52,3,1,62.4,60.6,61.5,0.5,0.511111111111111,0.224358974358974,0.247524752475248,0.387096774193548,0.25,0.489795918367347,0.355555555555556,0.375,0.473684210526316,0.166666666666667,0.0227272727272727,0.165016501650165,0.112179487179487,0.521523178807947,0.541825095057034
2003,137,1257,86,1122,64,"N",0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18,23,1,1,73.175,74.45,73.8125,0.557142857142857,0.462962962962963,0.163990433891356,0.241773002014775,0.416666666666667,0.216216216216216,0.185714285714286,0.407407407407407,0.514285714285714,0.458333333333333,0.121212121212121,0.0652173913043478,0.161182001343183,0.0683293474547318,0.564489661962586,0.496508921644686
2003,136,1266,72,1221,68,"N",0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20,11,1,1,60.925,60.875,60.9,0.519607843137255,0.490740740740741,0.164136233073451,0.147843942505133,0.354838709677419,0.411764705882353,0.450980392156863,0.462962962962963,0.636363636363636,0.583333333333333,0.0769230769230769,0.0285714285714286,0.0657084188911704,0.0656544932293804,0.581348405329027,0.516129032258065
2003,138,1266,101,1281,92,"N",1,35,62,12,18,19,20,8,25,18,12,6,0,20,31,72,15,36,15,19,18,20,19,12,4,4,17,38,2,1,75.5,75.025,75.2625,0.661290322580645,0.534722222222222,0.158940397350993,0.15994668443852,0.285714285714286,0.418604651162791,0.32258064516129,0.263888888888889,0.514285714285714,0.612903225806452,0,0.0909090909090909,0.0799733422192602,0.0529801324503311,0.706293706293706,0.567726010490589
2003,143,1266,77,1338,74,"N",0,28,54,6,12,15,22,10,18,16,10,7,3,18,29,55,4,14,12,15,10,20,18,12,6,4,19,53,3,1,64.45,64.125,64.2875,0.574074074074074,0.563636363636364,0.155159038013964,0.187134502923977,0.333333333333333,0.357142857142857,0.407407407407407,0.272727272727273,0.571428571428571,0.620689655172414,0.0731707317073171,0.0952380952380952,0.10916179337232,0.0930954228083786,0.597362296353763,0.595573440643863
2003,145,1266,83,1246,69,"N",0,31,55,10,19,11,15,10,26,21,15,6,6,22,25,64,4,16,15,24,20,16,14,11,10,2,19,59,4,1,67.125,66.4,66.7625,0.654545454545455,0.421875,0.223463687150838,0.16566265060241,0.384615384615385,0.434782608695652,0.272727272727273,0.375,0.67741935483871,0.56,0.125,0.0555555555555556,0.0903614457831325,0.148975791433892,0.668008048289738,0.457559681697613
2003,137,1268,75,1423,73,"N",0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19,24,1,1,66.125,65.35,65.7375,0.592592592592593,0.481818181818182,0.196597353497164,0.122417750573833,0.296296296296296,0.27027027027027,0.277777777777778,0.472727272727273,0.62962962962963,0.8,0.115384615384615,0.0285714285714286,0.0459066564651875,0.10586011342155,0.613496932515337,0.541945063103192
2003,139,1268,77,1462,64,"N",0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16,45,2,1,67.075,67.4,67.2375,0.543103448275862,0.412280701754386,0.119269474468878,0.103857566765579,0.259259259259259,0.2,0.293103448275862,0.421052631578947,0.633333333333333,0.6,0.153846153846154,0,0.029673590504451,0.0298173686172195,0.582671206961786,0.467836257309941
2003,137,1277,79,1160,64,"N",0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19,25,1,1,68.875,69.075,68.975,0.526785714285714,0.475,0.159709618874773,0.188201230546507,0.303030303030303,0.3,0.446428571428571,0.283333333333333,0.615384615384615,0.346153846153846,0.0217391304347826,0.186046511627907,0.0723850886717336,0.0871143375680581,0.58195211786372,0.470069775982372
2003,139,1277,68,1196,46,"N",0,25,45,6,16,12,18,9,21,15,10,5,0,18,16,43,5,21,9,12,8,14,9,14,2,1,20,46,2,1,54.55,54.7,54.625,0.622222222222222,0.430232558139535,0.183318056828598,0.255941499085923,0.391304347826087,0.275862068965517,0.4,0.27906976744186,0.6,0.5625,0,0.0344827586206897,0.0914076782449726,0.0366636113657195,0.634920634920635,0.472279260780287
2003,144,1277,60,1268,58,"N",0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15,54,3,1,68.7,68.55,68.625,0.446428571428571,0.388888888888889,0.262008733624454,0.218818380743982,0.314285714285714,0.257142857142857,0.214285714285714,0.333333333333333,0.454545454545455,0.4,0.0789473684210526,0.102564102564103,0.116703136396791,0.174672489082969,0.486223662884927,0.463629096722622
2003,136,1281,72,1356,71,"N",0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19,12,1,1,74.55,76.975,75.7625,0.586538461538462,0.461538461538462,0.308517773306506,0.168886001948685,0.333333333333333,0.255813953488372,0.346153846153846,0.323076923076923,0.25,0.730769230769231,0.130434782608696,0,0.0519649236765184,0.0804828973843058,0.594549958711808,0.47349116372124
2003,136,1323,70,1454,69,"N",0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25,13,1,1,74.875,73.5,74.1875,0.453703703703704,0.409090909090909,0.267111853088481,0.163265306122449,0.323529411764706,0.297872340425532,0.462962962962963,0.303030303030303,0.304347826086957,0.652173913043478,0.13953488372093,0.0731707317073171,0.0816326530612245,0.146911519198664,0.531309297912713,0.456953642384106
2003,138,1323,68,1228,60,"N",0,25,61,13,24,5,5,5,32,12,11,5,4,13,22,63,5,17,11,16,10,31,12,9,6,3,10,39,2,1,69.375,69.6,69.4875,0.516393442622951,0.388888888888889,0.158558558558559,0.129310344827586,0.138888888888889,0.238095238095238,0.0819672131147541,0.253968253968254,0.48,0.545454545454545,0.0869565217391304,0.0810810810810811,0.0718390804597701,0.0864864864864865,0.536489151873767,0.424929178470255
2003,136,1328,71,1354,54,"N",0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23,14,1,1,66.4,66.8,66.6,0.557692307692308,0.461538461538462,0.210843373493976,0.269461077844311,0.333333333333333,0.225806451612903,0.461538461538462,0.153846153846154,0.666666666666667,0.380952380952381,0.09375,0.0588235294117647,0.119760479041916,0.105421686746988,0.55993690851735,0.483870967741935
2003,138,1328,74,1143,65,"N",0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23,40,2,1,61.4,60.7,61.05,0.57843137254902,0.567307692307692,0.195439739413681,0.14827018121911,0.419354838709677,0.206896551724138,0.470588235294118,0.230769230769231,0.615384615384615,0.222222222222222,0.0555555555555556,0.105263157894737,0.0329489291598023,0.0814332247557003,0.592948717948718,0.563258232235702
2003,144,1328,65,1139,54,"N",0,27,55,4,10,7,12,19,20,15,13,6,1,18,19,43,4,13,12,17,7,14,10,13,7,2,18,55,3,1,54.7,57.075,55.8875,0.527272727272727,0.488372093023256,0.237659963436929,0.227770477441962,0.575757575757576,0.259259259259259,0.218181818181818,0.395348837209302,0.555555555555556,0.526315789473684,0.0333333333333333,0.0444444444444444,0.105124835742444,0.127970749542962,0.535420098846787,0.52863436123348
2003,137,1329,77,1335,63,"N",0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20,26,1,1,64.3,64.6,64.45,0.61,0.585365853658537,0.171073094867807,0.278637770897833,0.434782608695652,0.117647058823529,0.56,0.390243902439024,0.555555555555556,0.85,0,0,0.185758513931889,0.0777604976671851,0.608214849921011,0.648148148148148
2003,137,1338,87,1447,61,"N",0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20,27,1,1,67.975,69.55,68.7625,0.635593220338983,0.480392156862745,0.132401618242001,0.273184759166068,0.333333333333333,0.28125,0.355932203389831,0.352941176470588,0.666666666666667,0.619047619047619,0.2,0.0465116279069767,0.201294033069734,0.0882677454946672,0.630663283798478,0.512174643157011
2003,139,1338,74,1231,52,"N",0,25,47,4,9,20,28,10,21,15,11,9,1,14,19,44,6,17,8,10,5,15,13,16,3,2,18,47,2,1,61.3,59.75,60.525,0.574468085106383,0.5,0.179445350734095,0.267782426778243,0.4,0.192307692307692,0.595744680851064,0.227272727272727,0.6,0.684210526315789,0.037037037037037,0.0526315789473684,0.150627615062762,0.0489396411092985,0.613598673300166,0.533333333333333
2003,137,1345,80,1261,56,"N",0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13,28,1,1,72.025,67.075,69.55,0.605769230769231,0.383333333333333,0.263797292606734,0.238538948937756,0.307692307692308,0.404761904761905,0.365384615384615,0.283333333333333,0.259259259259259,0.35,0.0294117647058824,0.0833333333333333,0.134178158777488,0.0971884762235335,0.655469070053257,0.411311053984576
2003,136,1390,77,1360,69,"N",0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18,15,1,1,73.125,70.2,71.6625,0.515625,0.360655737704918,0.191452991452991,0.156695156695157,0.324324324324324,0.369565217391304,0.234375,0.524590163934426,0.551724137931034,0.35,0.186046511627907,0,0.056980056980057,0.041025641025641,0.541300527240773,0.452755905511811
2003,137,1393,76,1264,65,"N",0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14,29,1,1,66.125,66.55,66.3375,0.615384615384615,0.409836065573771,0.272211720226843,0.165289256198347,0.44,0.333333333333333,0.288461538461538,0.295081967213115,0.533333333333333,0.727272727272727,0.225,0.0487804878048781,0.0751314800901578,0.136105860113422,0.642706131078224,0.467289719626168
2003,139,1393,68,1329,56,"N",0,26,57,5,12,11,18,5,33,16,17,11,9,19,22,63,3,19,9,19,11,27,16,22,8,4,19,48,2,1,77.55,83.025,80.2875,0.5,0.373015873015873,0.219213410702772,0.264980427582054,0.15625,0.25,0.315789473684211,0.301587301587302,0.615384615384615,0.727272727272727,0.204545454545455,0.0888888888888889,0.132490213791027,0.103159252095422,0.518688024408848,0.388753904894134
2003,144,1393,79,1120,78,"N",0,29,66,5,14,16,21,15,21,14,10,9,7,17,27,63,10,22,14,17,14,26,15,17,5,5,19,56,3,1,70.975,74.075,72.525,0.477272727272727,0.507936507936508,0.140894681225784,0.229497131285859,0.365853658536585,0.4,0.318181818181818,0.26984126984127,0.482758620689655,0.555555555555556,0.170731707317073,0.0961538461538462,0.121498481268984,0.0704473406128919,0.519907864429089,0.548716144917341
2003,146,1393,63,1328,47,"N",0,25,48,2,12,11,19,12,28,16,24,13,2,13,18,58,5,28,6,11,14,14,10,19,13,4,16,60,4,1,69.025,68.225,68.625,0.541666666666667,0.353448275862069,0.347700108656284,0.278490289483327,0.461538461538462,0.333333333333333,0.395833333333333,0.189655172413793,0.64,0.555555555555556,0.0666666666666667,0.111111111111111,0.190545987541224,0.188337558855487,0.552389302937308,0.371688414393041
2003,152,1393,95,1400,84,"N",0,32,56,7,13,24,31,9,28,14,13,9,2,21,27,63,10,21,20,32,17,17,20,14,6,2,26,63,5,1,74.725,75.2,74.9625,0.633928571428571,0.507936507936508,0.173971227835396,0.186170212765957,0.346153846153846,0.377777777777778,0.553571428571429,0.507936507936508,0.4375,0.740740740740741,0.0476190476190476,0.0465116279069767,0.11968085106383,0.0802944128471061,0.671615411806292,0.537084398976982
2003,154,1393,81,1242,78,"N",0,30,63,11,18,10,17,11,25,13,17,10,7,22,31,71,4,20,12,30,26,26,18,18,9,4,16,64,6,1,77.075,77.25,77.1625,0.563492063492063,0.464788732394366,0.220564385338956,0.233009708737864,0.297297297297297,0.509803921568627,0.26984126984127,0.422535211267606,0.433333333333333,0.580645161290323,0.137254901960784,0.0888888888888889,0.129449838187702,0.116769380473565,0.569820612029546,0.457478005865103
2003,137,1400,82,1421,61,"N",0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16,30,1,1,66.5,65.7,66.1,0.548387096774194,0.411290322580645,0.210526315789474,0.167427701674277,0.542857142857143,0.317073170731707,0.32258064516129,0.193548387096774,0.483870967741935,0.217391304347826,0.0487804878048781,0.0652173913043478,0.091324200913242,0.135338345864662,0.573426573426573,0.450516986706056
2003,139,1400,77,1345,67,"N",0,25,62,5,11,22,26,13,27,8,13,4,0,21,23,62,5,16,16,24,13,22,10,13,7,2,24,49,2,1,74.35,73.4,73.875,0.443548387096774,0.411290322580645,0.174848688634835,0.177111716621253,0.371428571428571,0.325,0.419354838709677,0.387096774193548,0.32,0.434782608695652,0,0.0392156862745098,0.0544959128065395,0.0941492938802959,0.517821116341628,0.456403269754768
2003,144,1400,82,1163,78,"N",0,24,69,5,18,29,36,21,31,13,10,5,5,21,30,71,4,13,14,25,14,27,13,11,7,8,21,57,3,1,75.1,79.875,77.4875,0.384057971014493,0.450704225352113,0.133155792276964,0.137715179968701,0.4375,0.311111111111111,0.521739130434783,0.352112676056338,0.541666666666667,0.433333333333333,0.0862068965517241,0.156862745098039,0.0625978090766823,0.0932090545938748,0.476190476190476,0.470588235294118
2003,146,1400,85,1277,76,"N",0,25,51,6,14,29,38,8,20,16,4,6,4,22,25,54,8,16,18,26,12,26,11,12,1,2,28,61,4,1,65.05,66.35,65.7,0.549019607843137,0.537037037037037,0.0614911606456572,0.180859080633007,0.235294117647059,0.375,0.745098039215686,0.481481481481481,0.64,0.44,0.105263157894737,0.0540540540540541,0.0904295403165034,0.0153727901614143,0.615496017378711,0.572720422004522
2003,136,1409,84,1173,71,"N",0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19,16,1,1,67.175,69.275,68.225,0.649122807017544,0.492424242424242,0.178637886118348,0.158787441356911,0.333333333333333,0.315789473684211,0.228070175438596,0.136363636363636,0.545454545454545,0.392857142857143,0.0263157894736842,0.0666666666666667,0.0866113316492241,0.0446594715295869,0.664819944598338,0.505158306652437
2003,134,1421,92,1411,84,"N",1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22,1,1,1,79.35,79.725,79.5375,0.543478260869565,0.522388059701492,0.151228733459357,0.188146754468485,0.333333333333333,0.361702127659574,0.376811594202899,0.462686567164179,0.53125,0.551724137931034,0.0833333333333333,0,0.0627155848228285,0.0630119722747322,0.565457897971727,0.513918629550321
2003,137,1428,60,1332,58,"N",0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22,31,1,1,71.55,70.4,70.975,0.368852459016393,0.372727272727273,0.209643605870021,0.241477272727273,0.30952380952381,0.361111111111111,0.295081967213115,0.436363636363636,0.444444444444444,0.421052631578947,0.105263157894737,0.0526315789473684,0.0994318181818182,0.0838574423480084,0.431344356578001,0.436746987951807
2003,137,1448,76,1190,73,"N",0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20,32,1,1,78.5,75.3,76.9,0.463768115942029,0.441666666666667,0.24203821656051,0.199203187250996,0.431818181818182,0.30952380952381,0.289855072463768,0.466666666666667,0.448275862068966,0.291666666666667,0.18,0.0869565217391304,0.106241699867198,0.152866242038217,0.484076433121019,0.497953615279673
2003,136,1458,81,1451,74,"N",0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20,17,1,1,67.45,66.125,66.7875,0.586206896551724,0.457746478873239,0.133432171979244,0.151228733459357,0.32258064516129,0.478260869565217,0.379310344827586,0.211267605633803,0.516129032258065,0.310344827586207,0.0425531914893617,0,0.10586011342155,0.0593031875463306,0.591672753834916,0.4736
