Player,NBA.Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,TeamID
Joffrey Lauvergne,Memphis Grizzlies,KK Partizan (Serbia),2013,2,25,55,
Johan Petro,Seattle SuperSonics,Elan Bearnais Pau-Orthez (France),2005,1,25,25,
Jonas Jerebko,Detroit Pistons,Pallacanestro Biella (Italy),2009,2,9,39,
Jonas Valanciunas,Toronto Raptors,BC Lietuvos rytas (Lithuania),2011,1,5,5,
Josh Smith,Atlanta Hawks,Oak Hill Academy,2004,1,17,17,
JR Smith,New Orleans Hornets,Saint Benedict's Preparatory School,2004,1,18,18,
Juan Carlos Navarro,Washington Wizards,FC Barcelona Basquet (Spain),2002,2,11,39,
Juan Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15,
Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9,39,
Jusuf Nurkic,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16,
Kendrick Perkins,Memphis Grizzlies,Clifton J. Ozen,2003,1,27,27,
Kevin Seraphin,Chicago Bulls,Cholet Basket (France),2010,1,17,17,
Kosta Perovic,Golden State Warriors,KK Partizan (Serbia),2006,2,8,38,
Kostas Papanikolaou,New York Knicks,Olympiacos B.C. (Greece),2012,2,18,48,
Kristaps Porzingis,New York Knicks,CB Sevilla (Spain),2015,1,4,4,
Kyrylo Fesenko,Philadelphia 76ers,Cherkaski Mavpy (Ukraine),2007,2,8,38,
Latavious Williams,Miami Heat,Tulsa 66ers (D-League),2010,2,18,48,
Leandro Barbosa,San Antonio Spurs,Associacao Bauru Basketball Team (Brazil),2003,1,28,28,
LeBron James,Cleveland Cavaliers,Saint Vincent-Saint Mary,2003,1,1,1,
Lior Eliyahu,Orlando Magic,Hapoel Galil Elyon (Israel),2006,2,14,44,
Livio Jean-Charles,San Antonio Spurs,ASVEL Basket (France),2013,1,28,28,
Lou Williams,Philadelphia 76ers,South Gwinnett,2005,2,15,45,
Louis Labeyrie,Indiana Pacers,Paris-Levallois Basket (France),2014,2,27,57,
Loukas Mavrokefalidis,Minnesota Timberwolves,P.A.O.K. B.C. (Greece),2006,2,27,57,
Lucas Nogueira,Boston Celtics,CB Estudiantes (Spain),2013,1,16,16,
Luis Scola,San Antonio Spurs,Saski Baskonia (Spain),2002,2,27,55,
Luka Mitrovic,Philadelphia 76ers,Red Star Belgrade (Serbia),2015,2,30,60,
Maciej Lampe,New York Knicks,Madrid (ESP),2003,2,1,30,
Malick Badiane,Houston Rockets,TV Langen (Germany),2003,2,15,44,
Marc Gasol,Los Angeles Lakers,CB Sant Josep (Spain),2007,2,18,48,
Marcin Gortat,Phoenix Suns,Koln 99ers (Germany),2005,2,27,57,
Marco Belinelli,Golden State Warriors,Fortitudo Pallacanestro Bologna (Italy),2007,1,18,18,
Marcus Eriksson,Atlanta Hawks,FC Barcelona Basquet (Spain),2015,2,20,50,
Marcus Vinicius,New Orleans/Oklahoma City Hornets,Objetivo Sao Carlos (Brazil),2006,2,13,43,
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5,
Mario Kasun,Los Angeles Clippers,Skyliners Frankfurt (Germany),2002,2,12,40,
Marko Todorovic,Portland Trail Blazers,FC Barcelona Basquet (Spain),2013,2,15,45,
Martell Webster,Portland Trail Blazers,Seattle Preparatory School,2005,1,6,6,
Martynas Andriuskevicius,Orlando Magic,BC Zalgiris (Lithuania),2005,2,14,44,
Mickael Gelabale,Seattle SuperSonics,Real Madrid Baloncesto (Spain),2005,2,18,48,
Mickael Pietrus,Golden State Warriors,Elan Bearnais Pau-Orthez (France),2003,1,11,11,
Mike Taylor,Portland Trail Blazers,Idaho Stampede (D-League),2008,2,25,55,
Milan Macvan,Cleveland Cavaliers,Maccabi Tel Aviv B.C. (Israel),2011,2,24,54,
Mile Ilic,New Jersey Nets,KK FMP (Serbia),2005,2,13,43,
Milos Vujanic,New York Knicks,KK Partizan (Serbia),2002,2,7,35,
Milovan Rakovic,Dallas Mavericks,KK Mega Leks (Serbia),2007,2,30,60,
Mladen Sekularac,Dallas Mavericks,KK FMP (Serbia),2002,2,26,54,
Monta Ellis,Golden State Warriors,Lanier,2005,2,10,40,
Mouhamed Sene,Seattle SuperSonics,VOO Wolves Verviers-Pepinster (Belgium),2006,1,10,10,
Nando De Colo,San Antonio Spurs,Cholet Basket (France),2009,2,23,53,
Nathan Jawai,Indiana Pacers,Cairns Taipans (Australia),2008,2,11,41,
Ndudi Ebi,Minnesota Timberwolves,Westbury Christian School,2003,1,26,26,
Nedzad Sinanovic,Portland Trail Blazers,HKK Brotnjo (Bosnia and Herzegovina),2003,2,25,54,
Nemanja Bjelica,Washington Wizards,KK Crvena zvezda (Serbia),2010,2,5,35,
Nemanja Dangubic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,24,54,
Nemanja Nedovic,Phoenix Suns,BC Lietuvos rytas (Lithuania),2013,1,30,30,
Nenad Krstic,New Jersey Nets,KK Partizan (Serbia),2002,1,24,24,
Nene,New York Knicks,CR Vasco da Gama (Brazil),2002,1,7,7,
Nicolas Batum,Houston Rockets,Le Mans Sarthe Basket (France),2008,1,25,25,
Nikola Jokic,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41,
Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26,26,
Nikola Mirotic,Houston Rockets,Real Madrid Baloncesto (Spain),2011,1,23,23,
Nikola Pekovic,Minnesota Timberwolves,KK Partizan (Serbia),2008,2,1,31,
Nikola Radicevic,Denver Nuggets,CB Sevilla (Spain),2015,2,27,57,
Nikoloz Tskitishvili,Denver Nuggets,Universo Treviso Basket (Italy),2002,1,5,5,
Ognjen Kuzmic,Golden State Warriors,CB Axarquia (Spain),2012,2,22,52,
Oleksiy Pecherov,Washington Wizards,Paris Basket Racing (France),2006,1,18,18,
Omer Asik,Portland Trail Blazers,Fenerbahce S.K. (Turkey),2008,2,6,36,
Omri Casspi,Sacramento Kings,Maccabi Tel Aviv B.C. (Israel),2009,1,23,23,
Paccelis Morlende,Philadelphia 76ers,JDA Dijon Basket (France),2003,2,21,50,
Pape Sy,Atlanta Hawks,STB Le Havre (France),2010,2,23,53,
Patrick Beverley,Los Angeles Lakers,BC Dnipro (Ukraine),2009,2,12,42,
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48,
Paulo Prestes,Minnesota Timberwolves,CB Murcia (Spain),2010,2,15,45,
Pavel Podkolzin,Utah Jazz,Pallacanestro Varese (Italy),2004,1,21,21,
Peter Fehse,Seattle SuperSonics,SV Halle (Germany),2002,2,20,48,
Peter Ramos,Washington Wizards,Criollos de Caguas (Puerto Rico),2004,2,3,32,
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53,
Petteri Koponen,Philadelphia 76ers,Espoon Honka (Finland),2007,1,30,30,
PJ Hairston,Miami Heat,Texas Legends (D-League),2014,1,26,26,
Qyntel Woods,Portland Trail Blazers,Northeast Mississippi Community College,2002,1,21,21,
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35,
Raul Neto,Atlanta Hawks,San Sebastian Gipuzkoa BC (Spain),2013,2,17,47,
Remon Van de Hare,Toronto Raptors,FC Barcelona Basquet (Spain),2003,2,23,52,
Renaldas Seibutis,Dallas Mavericks,Maroussi B.C. (Greece),2007,2,20,50,
Ricky Rubio,Minnesota Timberwolves,Joventut Badalona (Spain),2009,1,5,5,
Ricky Sanchez,Portland Trail Blazers,IMG Academy,2005,2,5,35,
Robert Whaley,Utah Jazz,Walsh,2005,2,21,51,
Rodrigue Beaubois,Oklahoma City Thunder,Cholet Basket (France),2009,1,25,25,
Roko Leni Ukic,Toronto Raptors,KK Split (Croatia),2005,2,11,41,
Ronald Murray,Milwaukee Bucks,Shaw,2002,2,13,41,
Rudy Fernandez,Phoenix Suns,Joventut Badalona (Spain),2007,1,24,24,
Rudy Gobert,Denver Nuggets,Cholet Basket (France),2013,1,27,27,
Ryan Richards,San Antonio Spurs,CB Gran Canaria (Spain),2010,2,19,49,
Sani Becirovic,Denver Nuggets,Virtus Pallacanestro Bologna (Italy),2003,2,17,46,
Sasha Pavlovic,Utah Jazz,KK Buducnost Podgorica (Montenegro),2003,1,19,19,
Sasha Vujacic,Los Angeles Lakers,Pallalcesto Amatori Udine (Italy),2004,1,27,27,
Satnam Singh,Dallas Mavericks,IMG Academy,2015,2,22,52,
Sebastian Telfair,Portland Trail Blazers,Abraham Lincoln,2004,1,13,13,
Semih Erden,Boston Celtics,Fenerbahce S.K. (Turkey),2008,2,30,60,
Serge Ibaka,Oklahoma City Thunder,CB L'Hospitalet (Spain),2008,1,24,24,
Sergei Karaulov,San Antonio Spurs,Sakha-Yakutia Yakutsk (Russia),2004,2,28,57,
Sergei Monia,Portland Trail Blazers,PBC CSKA Moscow (Russia),2004,1,23,23,
Sergey Karasev,Cleveland Cavaliers,B.C. Zenit Saint Petersburg (Russia),2013,1,19,19,
Sergio Llull,Denver Nuggets,Real Madrid Baloncesto (Spain),2009,2,4,34,
Sergio Rodriguez,Phoenix Suns,CB Estudiantes (Spain),2006,1,27,27,
Sergiy Gladyr,Atlanta Hawks,MBC Mykolaiv (Ukraine),2009,2,19,49,
Shaun Livingston,Los Angeles Clippers,Peoria,2004,1,4,4,
Slavko Vranes,New York Knicks,KK Buducnost Podgorica (Montenegro),2003,2,10,39,
Sofoklis Schortsanitis,Los Angeles Clippers,Iraklis Thessaloniki B.C. (Greece),2003,2,5,34,
Stanko Barac,Miami Heat,HKK Siroki (Bosnia and Herzegovina),2007,2,9,39,
Sun Yue,Los Angeles Lakers,Beijing Olympians (China),2007,2,10,40,
Szymon Szewczyk,Milwaukee Bucks,Basketball Lowen Braunschweig (Germany),2003,2,6,35,
Tadija Dragicevic,Utah Jazz,KK Crvena zvezda (Serbia),2008,2,23,53,
Tanguy Ngombo,Dallas Mavericks,Al Rayyan Basketball Team (Qatar),2011,2,27,57,
Thabo Sefolosha,Philadelphia 76ers,Pallacanestro Biella (Italy),2006,1,13,13,
Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2014,2,21,51,
Thon Maker,Milwaukee Bucks,,2016,1,10,10,
Tiago Splitter,San Antonio Spurs,Saski Baskonia (Spain),2007,1,28,28,
Tibor Pleiss,New Jersey Nets,Brose Baskets (Germany),2010,2,1,31,
Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24,
Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2012,2,2,32,
Tomislav Zubcic,Toronto Raptors,KK Cibona (Croatia),2012,2,26,56,
Travis Outlaw,Portland Trail Blazers,Starkville,2003,1,23,23,
Uros Slokar,Toronto Raptors,Pallalcesto Amatori Udine (Italy),2005,2,28,58,
Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,22,52,
Vassilis Spanoulis,Dallas Mavericks,Maroussi B.C. (Greece),2004,2,21,50,
Victor Claver,Portland Trail Blazers,Valencia BC (Spain),2009,1,22,22,
Viktor Khryapa,New Jersey Nets,PBC CSKA Moscow (Russia),2004,1,22,22,
Viktor Sanikidze,Atlanta Hawks,JDA Dijon Basket (France),2004,2,13,42,
Vladimir Veremeenko,Washington Wizards,CB Cornella (Spain),2006,2,18,48,
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27,57,
Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5,35,
Xue Yuyang,Dallas Mavericks,Hong Kong Flying Dragons (China),2003,2,28,57,
Yao Ming,Houston Rockets,Shanghai Sharks (China),2002,1,1,1,
Yaroslav Korolev,Los Angeles Clippers,PBC CSKA Moscow (Russia),2005,1,12,12,
Yi Jianlian,Milwaukee Bucks,Guangdong Southern Tigers (China),2007,1,6,6,
Yotam Halperin,Seattle SuperSonics,KK Olimpija (Slovenia),2006,2,23,53,
Zarko Cabarkapa,Phoenix Suns,KK Buducnost Podgorica (Montenegro),2003,1,17,17,
Zaza Pachulia,Orlando Magic,Ulkerspor (Turkey),2003,2,13,42,
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43,
Zoran Planinic,New Jersey Nets,KK Cibona (Croatia),2003,1,22,22,
