Season,Team,Region,Seed
1991,1207,West,8
1991,1435,West,9
1991,1140,West,10
1991,1166,West,11
1991,1453,West,12
1991,1375,West,13
1991,1337,West,14
1991,1384,West,15
1991,1285,West,16
1992,1181,East,1
1992,1246,East,2
1992,1269,East,3
1992,1371,East,4
1992,1281,East,5
1992,1393,East,6
1992,1150,East,7
1992,1400,East,8
1992,1234,East,9
1992,1235,East,10
1992,1343,East,11
1992,1452,East,12
1992,1247,East,13
1992,1200,East,14
1992,1330,East,15
1992,1144,East,16
1992,1417,West,1
1992,1231,West,2
1992,1199,West,3
1992,1328,West,4
1992,1177,West,5
1992,1207,West,6
1992,1261,West,7
1992,1257,West,8
1992,1448,West,9
1992,1140,West,10
1992,1378,West,11
1992,1308,West,12
1992,1418,West,13
1992,1285,West,14
1992,1183,West,15
1992,1352,West,16
1992,1242,Midwest,1
1992,1425,Midwest,2
1992,1116,Midwest,3
1992,1153,Midwest,4
1992,1277,Midwest,5
1992,1272,Midwest,6
1992,1210,Midwest,7
1992,1191,Midwest,8
1992,1431,Midwest,9
1992,1222,Midwest,10
1992,1337,Midwest,11
1992,1283,Midwest,12
1992,1174,Midwest,13
1992,1293,Midwest,14
1992,1419,Midwest,15
1992,1224,Midwest,16
1992,1326,Southeast,1
1992,1329,Southeast,2
1992,1112,Southeast,3
1992,1314,Southeast,4
1992,1104,Southeast,5
1992,1276,Southeast,6
1992,1385,Southeast,7
1992,1304,Southeast,8
1992,1163,Southeast,9
1992,1408,Southeast,10
1992,1396,Southeast,11
1992,1390,Southeast,12
1992,1275,Southeast,13
1992,1190,Southeast,14
1992,1204,Southeast,15
1992,1290,Southeast,16
1993,1314,East,1
1993,1153,East,2
1993,1269,East,3
1993,1116,East,4
1993,1385,East,5
1993,1438,East,6
1993,1308,East,7
1993,1348,East,8
1993,1345,East,9
1993,1304,East,10
1993,1264,East,11
1993,1403,East,12
1993,1221,East,13
1993,1335,East,14
1993,1164,East,15
1993,1187,East,16
1993,1231,Midwest,1
1993,1242,Midwest,2
1993,1181,Midwest,3
1993,1257,Midwest,4
1993,1329,Midwest,5
1993,1143,Midwest,6
1993,1140,Midwest,7
1993,1309,Midwest,8
1993,1462,Midwest,9
1993,1374,Midwest,10
1993,1261,Midwest,11
1993,1266,Midwest,12
1993,1174,Midwest,13
1993,1356,Midwest,14
1993,1123,Midwest,15
1993,1460,Midwest,16
1993,1246,Southeast,1
1993,1371,Southeast,2
1993,1199,Southeast,3
1993,1234,Southeast,4
1993,1448,Southeast,5
1993,1243,Southeast,6
1993,1443,Southeast,7
1993,1428,Southeast,8
1993,1338,Southeast,9
1993,1272,Southeast,10
1993,1408,Southeast,11
1993,1151,Southeast,12
1993,1419,Southeast,13
1993,1191,Southeast,14
1993,1398,Southeast,15
1993,1351,Southeast,16
1993,1276,West,1
1993,1112,West,2
1993,1435,West,3
1993,1210,West,4
1993,1307,West,5
1993,1228,West,6
1993,1396,West,7
1993,1235,West,8
1993,1417,West,9
1993,1281,West,10
1993,1253,West,11
1993,1203,West,12
1993,1380,West,13
1993,1129,West,14
1993,1365,West,15
1993,1157,West,16
1994,1314,East,1
1994,1163,East,2
1994,1196,East,3
1994,1396,East,4
1994,1231,East,5
1994,1304,East,6
1994,1412,East,7
1994,1450,East,8
1994,1130,East,9
1994,1203,East,10
1994,1335,East,11
1994,1325,East,12
1994,1180,East,13
1994,1241,East,14
1994,1351,East,15
1994,1251,East,16
1994,1345,Southeast,1
1994,1181,Southeast,2
1994,1246,Southeast,3
1994,1242,Southeast,4
1994,1448,Southeast,5
1994,1266,Southeast,6
1994,1277,Southeast,7
1994,1344,Southeast,8
1994,1104,Southeast,9
1994,1371,Southeast,10
1994,1418,Southeast,11
1994,1158,Southeast,12
1994,1151,Southeast,13
1994,1398,Southeast,14
1994,1411,Southeast,15
1994,1416,Southeast,16
1994,1116,Midwest,1
1994,1269,Midwest,2
1994,1276,Midwest,3
1994,1329,Midwest,4
1994,1417,Midwest,5
1994,1400,Midwest,6
1994,1387,Midwest,7
1994,1228,Midwest,8
1994,1207,Midwest,9
1994,1268,Midwest,10
1994,1443,Midwest,11
1994,1409,Midwest,12
1994,1308,Midwest,13
1994,1337,Midwest,14
1994,1402,Midwest,15
1994,1299,Midwest,16
1994,1281,West,1
1994,1112,West,2
1994,1257,West,3
1994,1393,West,4
1994,1143,West,5
1994,1278,West,6
1994,1438,West,7
1994,1153,West,8
1994,1458,West,9
1994,1307,West,10
1994,1356,West,11
1994,1453,West,12
1994,1218,West,13
1994,1129,West,14
1994,1259,West,15
1994,1298,West,16
1995,1448,East,1
1995,1269,East,2
1995,1437,East,3
1995,1329,East,4
1995,1104,East,5
1995,1409,East,6
1995,1150,East,7
1995,1278,East,8
1995,1387,East,9
1995,1390,East,10
1995,1228,East,11
1995,1335,East,12
1995,1180,East,13
1995,1330,East,14
1995,1389,East,15
1995,1299,East,16
1995,1417,West,1
1995,1163,West,2
1995,1268,West,3
1995,1428,West,4
1995,1280,West,5
1995,1332,West,6
1995,1153,West,7
1995,1281,West,8
1995,1231,West,9
1995,1396,West,10
1995,1400,West,11
1995,1365,West,12
1995,1253,West,13
1995,1211,West,14
1995,1151,West,15
1995,1198,West,16
1995,1242,Midwest,1
1995,1116,Midwest,2
1995,1345,Midwest,3
1995,1438,Midwest,4
1995,1112,Midwest,5
1995,1272,Midwest,6
1995,1393,Midwest,7
1995,1443,Midwest,8
1995,1276,Midwest,9
1995,1356,Midwest,10
1995,1257,Midwest,11
1995,1275,Midwest,12
1995,1311,Midwest,13
1995,1453,Midwest,14
1995,1411,Midwest,15
1995,1159,Midwest,16
1995,1246,Southeast,1
1995,1314,Southeast,2
1995,1277,Southeast,3
1995,1328,Southeast,4
1995,1113,Southeast,5
1995,1207,Southeast,6
1995,1235,Southeast,7
1995,1140,Southeast,8
1995,1408,Southeast,9
1995,1196,Southeast,10
1995,1462,Southeast,11
1995,1123,Southeast,12
1995,1264,Southeast,13
1995,1451,Southeast,14
1995,1293,Southeast,15
1995,1291,Southeast,16
1996,1269,East,1
1996,1207,East,2
1996,1403,East,3
1996,1266,East,4
1996,1336,East,5
1996,1314,East,6
1996,1307,East,7
1996,1133,East,8
1996,1390,East,9
1996,1243,East,10
1996,1309,East,11
1996,1116,East,12
1996,1284,East,13
1996,1296,East,14
1996,1290,East,15
1996,1416,East,16
1996,1246,Midwest,1
1996,1448,Midwest,2
1996,1437,Midwest,3
1996,1428,Midwest,4
1996,1235,Midwest,5
1996,1257,Midwest,6
1996,1276,Midwest,7
1996,1453,Midwest,8
1996,1439,Midwest,9
1996,1400,Midwest,10
1996,1409,Midwest,11
1996,1143,Midwest,12
1996,1145,Midwest,13
1996,1339,Midwest,14
1996,1419,Midwest,15
1996,1363,Midwest,16
1996,1163,Southeast,1
1996,1153,Southeast,2
1996,1210,Southeast,3
1996,1417,Southeast,4
1996,1280,Southeast,5
1996,1231,Southeast,6
1996,1396,Southeast,7
1996,1181,Southeast,8
1996,1185,Southeast,9
1996,1328,Southeast,10
1996,1130,Southeast,11
1996,1433,Southeast,12
1996,1343,Southeast,13
1996,1122,Southeast,14
1996,1422,Southeast,15
1996,1159,Southeast,16
1996,1345,West,1
1996,1242,West,2
1996,1112,West,3
1996,1393,West,4
1996,1272,West,5
1996,1234,West,6
1996,1268,West,7
1996,1208,West,8
1996,1155,West,9
1996,1365,West,10
1996,1203,West,11
1996,1180,West,12
1996,1286,West,13
1996,1434,West,14
1996,1354,West,15
1996,1441,West,16
1997,1314,East,1
1997,1376,East,2
1997,1307,East,3
1997,1437,East,4
1997,1143,East,5
1997,1257,East,6
1997,1458,East,7
1997,1231,East,8
1997,1160,East,9
1997,1400,East,10
1997,1269,East,11
1997,1343,East,12
1997,1254,East,13
1997,1330,East,14
1997,1164,East,15
1997,1193,East,16
1997,1242,Southeast,1
1997,1181,Southeast,2
1997,1208,Southeast,3
1997,1112,Southeast,4
1997,1268,Southeast,5
1997,1228,Southeast,6
1997,1266,Southeast,7
1997,1345,Southeast,8
1997,1348,Southeast,9
1997,1344,Southeast,10
1997,1425,Southeast,11
1997,1158,Southeast,12
1997,1375,Southeast,13
1997,1151,Southeast,14
1997,1293,Southeast,15
1997,1238,Southeast,16
1997,1278,Midwest,1
1997,1417,Midwest,2
1997,1153,Midwest,3
1997,1155,Midwest,4
1997,1409,Midwest,5
1997,1235,Midwest,6
1997,1462,Midwest,7
1997,1279,Midwest,8
1997,1396,Midwest,9
1997,1435,Midwest,10
1997,1229,Midwest,11
1997,1131,Midwest,12
1997,1275,Midwest,13
1997,1139,Midwest,14
1997,1149,Midwest,15
1997,1402,Midwest,16
1997,1246,West,1
1997,1428,West,2
1997,1448,West,3
1997,1386,West,4
1997,1130,West,5
1997,1390,West,6
1997,1150,West,7
1997,1234,West,8
1997,1438,West,9
1997,1207,West,10
1997,1328,West,11
1997,1434,West,12
1997,1334,West,13
1997,1388,West,14
1997,1298,West,15
1997,1285,West,16
1998,1314,East,1
1998,1163,East,2
1998,1376,East,3
1998,1277,East,4
1998,1343,East,5
1998,1462,East,6
1998,1231,East,7
1998,1150,East,8
1998,1227,East,9
1998,1328,East,10
1998,1449,East,11
1998,1424,East,12
1998,1185,East,13
1998,1350,East,14
1998,1192,East,15
1998,1298,East,16
1998,1112,West,1
1998,1153,West,2
1998,1428,West,3
1998,1268,West,4
1998,1228,West,5
1998,1116,West,6
1998,1396,West,7
1998,1397,West,8
1998,1229,West,9
1998,1452,West,10
1998,1304,West,11
1998,1375,West,12
1998,1429,West,13
1998,1362,West,14
1998,1319,West,15
1998,1311,West,16
1998,1242,Midwest,1
1998,1345,Midwest,2
1998,1390,Midwest,3
1998,1279,Midwest,4
1998,1395,Midwest,5
1998,1155,Midwest,6
1998,1385,Midwest,7
1998,1348,Midwest,8
1998,1293,Midwest,9
1998,1178,Midwest,10
1998,1444,Midwest,11
1998,1199,Midwest,12
1998,1434,Midwest,13
1998,1158,Midwest,14
1998,1174,Midwest,15
1998,1341,Midwest,16
1998,1181,South,1
1998,1246,South,2
1998,1276,South,3
1998,1307,South,4
1998,1393,South,5
1998,1417,South,6
1998,1269,South,7
1998,1329,South,8
1998,1203,South,9
1998,1387,South,10
1998,1274,South,11
1998,1233,South,12
1998,1139,South,13
1998,1172,South,14
1998,1354,South,15
1998,1347,South,16
1999,1181,East,1
1999,1274,East,2
1999,1153,East,3
1999,1397,East,4
1999,1458,East,5
1999,1396,East,6
1999,1400,East,7
1999,1158,East,8
1999,1409,East,9
1999,1345,East,10
1999,1245,East,11
1999,1283,East,12
1999,1174,East,13
1999,1206,East,14
1999,1248,East,15
1999,1197,East,16
1999,1277,Midwest,1
1999,1428,Midwest,2
1999,1246,Midwest,3
1999,1112,Midwest,4
1999,1150,Midwest,5
1999,1242,Midwest,6
1999,1449,Midwest,7
1999,1437,Midwest,8
1999,1279,Midwest,9
1999,1275,Midwest,10
1999,1191,Midwest,11
1999,1348,Midwest,12
1999,1328,Midwest,13
1999,1308,Midwest,14
1999,1117,Midwest,15
1999,1291,Midwest,16
1999,1120,South,1
1999,1268,South,2
1999,1385,South,3
1999,1326,South,4
1999,1417,South,5
1999,1231,South,6
1999,1257,South,7
1999,1393,South,8
1999,1329,South,9
1999,1166,South,10
1999,1203,South,11
1999,1178,South,12
1999,1293,South,13
1999,1359,South,14
1999,1434,South,15
1999,1457,South,16
1999,1163,West,1
1999,1390,West,2
1999,1314,West,3
1999,1116,West,4
1999,1234,West,5
1999,1196,West,6
1999,1278,West,7
1999,1281,West,8
1999,1307,West,9
1999,1211,West,10
1999,1335,West,11
1999,1412,West,12
1999,1373,West,13
1999,1451,West,14
1999,1108,West,15
1999,1427,West,16
2000,1181,East,1
2000,1396,East,2
2000,1329,East,3
2000,1228,East,4
2000,1196,East,5
2000,1231,East,6
2000,1332,East,7
2000,1242,East,8
2000,1177,East,9
2000,1371,East,10
2000,1337,East,11
2000,1139,East,12
2000,1335,East,13
2000,1220,East,14
2000,1248,East,15
2000,1249,East,16
2000,1390,South,1
2000,1153,South,2
2000,1326,South,3
2000,1397,South,4
2000,1163,South,5
2000,1274,South,6
2000,1409,South,7
2000,1314,South,8
2000,1281,South,9
2000,1424,South,10
2000,1116,South,11
2000,1429,South,12
2000,1418,South,13
2000,1111,South,14
2000,1423,South,15
2000,1354,South,16
2000,1277,Midwest,1
2000,1235,Midwest,2
2000,1268,Midwest,3
2000,1393,Midwest,4
2000,1246,Midwest,5
2000,1417,Midwest,6
2000,1120,Midwest,7
2000,1428,Midwest,8
2000,1387,Midwest,9
2000,1166,Midwest,10
2000,1123,Midwest,11
2000,1382,Midwest,12
2000,1359,Midwest,13
2000,1233,Midwest,14
2000,1148,Midwest,15
2000,1434,Midwest,16
2000,1112,West,1
2000,1385,West,2
2000,1328,West,3
2000,1261,West,4
2000,1400,West,5
2000,1345,West,6
2000,1257,West,7
2000,1458,West,8
2000,1201,West,9
2000,1211,West,10
2000,1173,West,11
2000,1232,West,12
2000,1369,West,13
2000,1457,West,14
2000,1319,West,15
2000,1238,West,16
2001,1181,East,1
2001,1246,East,2
2001,1130,East,3
2001,1417,East,4
2001,1326,East,5
2001,1425,East,6
2001,1234,East,7
2001,1208,East,8
2001,1281,East,9
2001,1166,East,10
2001,1329,East,11
2001,1429,East,12
2001,1220,East,13
2001,1381,East,14
2001,1221,East,15
2001,1284,East,16
2001,1390,West,1
2001,1235,West,2
2001,1268,West,3
2001,1231,West,4
2001,1153,West,5
2001,1458,West,6
2001,1116,West,7
2001,1210,West,8
2001,1386,West,9
2001,1207,West,10
2001,1209,West,11
2001,1140,West,12
2001,1245,West,13
2001,1206,West,14
2001,1214,West,15
2001,1422,West,16
2001,1228,Midwest,1
2001,1112,Midwest,2
2001,1279,Midwest,3
2001,1242,Midwest,4
2001,1393,Midwest,5
2001,1323,Midwest,6
2001,1448,Midwest,7
2001,1397,Midwest,8
2001,1150,Midwest,9
2001,1139,Midwest,10
2001,1462,Midwest,11
2001,1218,Midwest,12
2001,1169,Midwest,13
2001,1233,Midwest,14
2001,1183,Midwest,15
2001,1322,Midwest,16
2001,1457,Midwest,16
2001,1277,South,1
2001,1314,South,2
2001,1196,South,3
2001,1328,South,4
2001,1438,South,5
2001,1400,South,6
2001,1336,South,7
2001,1143,South,8
2001,1201,South,9
2001,1344,South,10
2001,1396,South,11
2001,1211,South,12
2001,1232,South,13
2001,1443,South,14
2001,1343,South,15
2001,1106,South,16
2002,1268,East,1
2002,1163,East,2
2002,1208,East,3
2002,1246,East,4
2002,1266,East,5
2002,1403,East,6
2002,1301,East,7
2002,1458,East,8
2002,1385,East,9
2002,1277,East,10
2002,1356,East,11
2002,1409,East,12
2002,1434,East,13
2002,1293,East,14
2002,1214,East,15
2002,1108,East,16
2002,1373,East,16
2002,1242,Midwest,1
2002,1332,Midwest,2
2002,1280,Midwest,3
2002,1228,Midwest,4
2002,1196,Midwest,5
2002,1400,Midwest,6
2002,1448,Midwest,7
2002,1390,Midwest,8
2002,1443,Midwest,9
2002,1337,Midwest,10
2002,1130,Midwest,11
2002,1166,Midwest,12
2002,1361,Midwest,13
2002,1270,Midwest,14
2002,1285,Midwest,15
2002,1221,Midwest,16
2002,1181,South,1
2002,1104,South,2
2002,1338,South,3
2002,1425,South,4
2002,1231,South,5
2002,1143,South,6
2002,1329,South,7
2002,1323,South,8
2002,1150,South,9
2002,1245,South,10
2002,1335,South,11
2002,1428,South,12
2002,1423,South,13
2002,1148,South,14
2002,1194,South,15
2002,1457,South,16
2002,1153,West,1
2002,1328,West,2
2002,1112,West,3
2002,1326,West,4
2002,1274,West,5
2002,1211,West,6
2002,1462,West,7
2002,1417,West,8
2002,1279,West,9
2002,1218,West,10
2002,1461,West,11
2002,1281,West,12
2002,1172,West,13
2002,1364,West,14
2002,1227,West,15
2002,1131,West,16
2003,1328,East,1
2003,1448,East,2
2003,1393,East,3
2003,1257,East,4
2003,1280,East,5
2003,1329,East,6
2003,1386,East,7
2003,1143,East,8
2003,1301,East,9
2003,1120,East,10
2003,1335,East,11
2003,1139,East,12
2003,1122,East,13
2003,1264,East,14
2003,1190,East,15
2003,1354,East,16
2003,1400,South,1
2003,1196,South,2
2003,1462,South,3
2003,1390,South,4
2003,1163,South,5
2003,1268,South,6
2003,1277,South,7
2003,1261,South,8
2003,1345,South,9
2003,1160,South,10
2003,1423,South,11
2003,1140,South,12
2003,1360,South,13
2003,1407,South,14
2003,1358,South,15
2003,1411,South,16
2003,1421,South,16
2003,1246,Midwest,1
2003,1338,Midwest,2
2003,1266,Midwest,3
2003,1173,Midwest,4
2003,1458,Midwest,5
2003,1281,Midwest,6
2003,1231,Midwest,7
2003,1332,Midwest,8
2003,1428,Midwest,9
2003,1104,Midwest,10
2003,1356,Midwest,11
2003,1451,Midwest,12
2003,1409,Midwest,13
2003,1221,Midwest,14
2003,1447,Midwest,15
2003,1237,Midwest,16
2003,1112,West,1
2003,1242,West,2
2003,1181,West,3
2003,1228,West,4
2003,1323,West,5
2003,1166,West,6
2003,1272,West,7
2003,1153,West,8
2003,1211,West,9
2003,1113,West,10
2003,1141,West,11
2003,1454,West,12
2003,1443,West,13
2003,1161,West,14
2003,1429,West,15
2003,1436,West,16
2004,1181,Atlanta,1
2004,1280,Atlanta,2
2004,1400,Atlanta,3
2004,1153,Atlanta,4
2004,1228,Atlanta,5
2004,1314,Atlanta,6
2004,1462,Atlanta,7
2004,1371,Atlanta,8
2004,1112,Atlanta,9
2004,1257,Atlanta,10
2004,1102,Atlanta,11
2004,1293,Atlanta,12
2004,1190,Atlanta,13
2004,1343,Atlanta,14
2004,1284,Atlanta,15
2004,1106,Atlanta,16
2004,1390,Phoenix,1
